x1,y1,x2,y2
206,102,211,102
421,59,438,59
79,102,93,102
327,118,345,118
473,119,480,119
31,95,45,95
237,121,250,121
262,35,363,35
318,21,346,21
377,96,382,96
368,33,406,33
264,119,275,119
38,48,47,49
434,23,459,23
268,57,290,57
31,121,39,121
150,49,168,49
282,96,321,97
458,104,464,105
231,73,238,74
16,117,23,117
446,69,451,69
103,88,111,88
289,77,303,76
316,119,326,119
380,102,393,102
366,57,384,57
136,104,143,104
265,94,270,94
430,93,461,95
352,73,362,72
230,120,237,120
177,65,189,65
96,93,105,93
246,95,252,95
65,47,114,47
356,88,361,88
413,35,421,35
184,49,199,48
435,101,440,101
157,59,180,59
361,59,389,59
138,118,143,118
302,102,314,102
121,95,130,95
53,104,67,104
73,95,90,95
137,120,142,120
251,104,257,106
122,11,192,11
273,94,278,94
370,97,376,97
111,96,120,96
289,68,301,68
286,94,293,94
139,72,148,72
364,104,374,104
41,9,59,9
383,97,398,97
441,61,446,61
406,58,413,57
103,90,110,90
257,102,262,102
345,52,352,51
454,78,460,79
432,102,443,104
352,57,359,56
354,23,360,23
109,86,119,86
407,41,420,39
401,23,431,23
247,78,252,78
406,59,417,59
318,68,327,68
121,9,171,9
105,119,116,119
115,12,122,12
342,64,347,64
277,81,284,81
204,65,211,65
288,33,344,33
317,76,329,76
307,78,317,78
447,119,456,120
84,57,101,57
117,104,124,104
182,102,194,102
380,104,391,104
258,95,264,95
405,121,418,121
227,90,233,90
444,67,451,67
176,94,192,96
392,95,398,95
188,86,193,86
314,23,343,24
37,59,53,59
231,69,239,69
74,11,81,12
115,50,131,49
297,66,305,65
86,59,117,59
69,119,75,119
370,117,376,117
181,47,200,47
415,93,420,93
254,119,260,119
391,21,398,21
431,121,444,121
117,46,141,48
82,104,90,104
103,68,110,68
60,89,68,90
272,23,286,23
474,102,484,102
306,68,317,65
346,94,356,95
228,57,242,57
302,104,309,105
441,92,466,93
203,67,213,67
365,95,382,94
148,88,153,89
345,50,351,49
123,116,137,116
251,102,256,102
196,119,206,119
227,81,233,81
268,59,291,59
229,118,249,119
357,58,365,57
144,119,155,119
95,117,100,117
226,67,234,67
24,120,34,118
158,96,163,96
104,121,113,121
435,75,440,75
228,104,236,104
290,119,301,119
381,119,391,119
187,94,198,95
229,23,245,23
103,81,111,81
229,100,234,100
331,40,340,41
289,78,306,78
117,72,124,73
327,96,334,96
103,102,112,102
53,102,67,102
289,121,302,121
170,119,184,120
118,120,124,120
226,92,235,93
457,121,470,121
270,76,275,77
33,93,47,93
345,71,354,71
390,35,398,35
73,93,78,93
201,33,207,33
176,67,190,67
81,11,91,12
460,119,469,119
11,120,27,118
118,60,127,60
349,59,355,59
411,102,417,102
260,21,305,21
328,102,334,102
330,42,338,42
430,95,437,95
256,42,261,42
367,21,375,21
456,59,461,59
328,70,341,70
47,11,55,11
343,96,351,97
399,57,399,94
195,121,205,121
339,116,348,117
474,104,485,104
167,57,175,57
169,121,182,121
373,24,384,23
358,119,365,119
98,29,105,29
358,102,375,102
107,94,120,94
127,88,133,88
103,73,116,73
236,92,243,93
109,76,119,75
186,116,191,116
38,43,39,18
390,57,408,57
302,67,310,66
318,66,329,66
132,72,138,73
342,106,348,106
109,83,119,84
209,95,215,95
41,61,59,61
406,103,413,104
259,57,264,57
79,93,90,93
156,45,162,47
97,105,103,105
435,73,440,74
213,66,218,67
61,36,61,9
245,33,255,33
126,74,133,74
251,93,259,93
422,57,430,57
164,97,175,97
170,95,175,95
332,72,341,72
117,102,124,102
307,95,321,95
60,70,60,87
333,116,338,116
121,97,130,97
201,92,211,93
49,47,55,47
196,23,208,25
174,45,179,44
476,92,483,92
245,76,252,76
422,34,428,34
353,121,366,121
315,121,325,121
351,89,359,90
216,69,221,69
23,94,30,94
158,118,164,112
57,97,63,94
207,24,216,24
255,40,261,40
277,104,289,104
400,94,411,95
157,104,168,104
401,21,409,21
39,38,53,38
352,97,357,97
273,96,281,95
413,33,421,33
201,105,206,105
131,94,139,94
208,72,218,72
238,61,244,62
196,44,205,47
97,49,103,49
182,104,194,104
271,33,287,33
117,14,124,15
153,47,158,48
201,43,208,45
160,102,166,102
203,95,208,95
346,104,353,104
429,118,440,119
234,59,253,59
182,54,190,57
142,74,148,74
17,93,22,93
254,117,260,117
247,67,252,66
54,119,64,119
168,46,174,46
203,71,211,71
182,88,188,89
48,49,54,49
180,71,185,71
150,58,156,61
83,9,88,10
377,120,388,121
345,42,357,41
184,90,189,90
473,117,480,117
117,16,117,49
98,95,106,94
59,21,59,28
403,118,413,119
125,118,132,118
460,60,460,71
254,104,262,104
54,67,61,67
104,104,112,104
309,104,314,104
80,119,90,119
28,104,39,104
368,35,382,35
264,33,270,33
340,87,347,87
349,118,354,118
148,121,155,121
462,33,462,56
67,57,79,57
412,94,420,95
478,94,485,95
133,71,139,71
243,34,254,35
220,34,223,24
55,58,65,59
409,43,420,41
26,102,39,102
53,92,58,91
218,22,228,22
434,21,460,21
143,46,148,47
242,70,247,69
360,80,360,59
263,121,272,121
103,80,111,79
401,86,401,59
119,16,119,36
431,57,439,57
352,47,359,47
105,57,111,57
243,94,250,93
136,102,143,102
131,96,137,96
341,108,348,108
294,23,311,22
215,59,219,46
176,73,183,73
230,21,259,21
248,69,253,69
277,102,284,102
178,47,183,49
92,12,99,13
157,57,166,57
4,117,10,117
275,80,283,79
301,118,306,118
91,96,97,95
156,30,156,39
142,48,149,49
37,84,47,84
59,121,65,121
461,104,466,104
424,96,429,96
240,67,246,67
248,57,253,57
229,48,229,56
334,57,340,58
79,121,91,121
354,79,359,79
444,63,452,63
39,40,53,40
348,120,353,120
351,21,361,21
279,117,286,117
383,95,390,95
306,20,312,20
351,33,363,33
103,75,112,75
307,68,314,68
463,95,471,96
138,12,138,35
131,58,136,59
256,59,261,59
424,94,429,94
207,86,218,86
246,23,259,23
103,65,109,66
210,121,215,121
136,12,136,30
45,63,56,64
130,46,136,46
481,118,487,118
117,118,122,118
198,26,198,32
328,120,333,120
346,40,353,40
58,47,63,48
446,86,451,86
180,56,185,56
353,43,359,42
460,50,460,34
454,80,460,80
327,94,333,94
393,59,405,59
216,114,216,120
200,102,206,103
197,9,199,14
358,104,363,104
32,119,37,119
410,21,423,21
195,9,200,9
193,8,197,16
177,9,191,9
346,73,351,73
57,98,62,97
43,94,56,94
232,14,240,13
351,87,356,87
328,104,335,104
206,88,213,88
38,47,46,47
93,9,98,10
158,12,158,25
221,65,228,65
403,95,411,97
79,16,79,21
458,71,458,65
444,84,451,84
222,34,225,25
229,30,229,24
394,23,400,22
447,117,453,117
444,39,449,39
338,88,343,89
81,15,81,21
368,23,375,23
199,20,199,15
364,30,366,24
231,33,231,24
346,23,353,23
156,12,156,25
447,61,453,61
